league_gender,season_id,match_id,team_name,shirt_number,player_name,vote,pt_tot,pt_bp,pt_profloss,serv_tot,serv_err,serv_pt,rec_tot,rec_err,rec_pos,rec_per,att_tot,att_err,att_blo,att_pt,att_per,blo_pt
Men,1314,1001,CV.Mitteldeutschlan,2,Palgut,7,5,2,4,16,NA,NA,NA,NA,NA,NA,5,NA,NA,4,80,1
Men,1314,1001,CV.Mitteldeutschlan,3,Zeeman,NA,5,1,-1,4,NA,NA,NA,NA,NA,NA,14,2,3,5,36,NA
Men,1314,1001,CV.Mitteldeutschlan,4,Munk Christiansen,5,9,8,-3,13,3,4,23,2,48,30,16,NA,NA,5,31,NA
Men,1314,1001,CV.Mitteldeutschlan,8,Halanda,6,11,5,4,9,3,2,15,3,53,33,11,NA,NA,6,55,3
Men,1314,1001,CV.Mitteldeutschlan,9,Ehrhardt,6,16,7,6,10,3,1,NA,NA,NA,NA,29,2,2,14,48,1
Men,1314,1001,CV.Mitteldeutschlan,10,Hooi,7,16,4,11,15,3,NA,1,NA,NA,NA,17,NA,NA,15,88,1
Men,1314,1001,CV.Mitteldeutschlan,11,Sørensen Mørkeberg,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Men,1314,1001,CV.Mitteldeutschlan,12,Trenkler,5,11,3,NA,16,3,NA,32,2,47,34,22,3,1,10,45,1
Men,1314,1001,CV.Mitteldeutschlan,13,Warsawski,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Men,1314,1001,CV.Mitteldeutschlan,14,Hefter,NA,NA,NA,-4,NA,NA,NA,11,NA,27,18,NA,NA,NA,NA,NA,NA
Men,1314,1001,CV.Mitteldeutschlan,17,Völker,7,NA,NA,-4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Men,1314,1001,CV.Mitteldeutschlan,18,Augustyn,NA,9,2,2,16,3,1,2,NA,100,50,7,NA,NA,6,86,2
Men,1314,1001,TV.Rottenburg.1,1,Mehlberg,NA,1,NA,-1,2,NA,NA,8,1,NA,NA,4,1,NA,1,25,NA
