"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Men","1516",1000,"BERLIN.RECYCLING",2,"V.Shoji Erik",NA,NA,NA,NA,NA,NA,NA,8,NA,100,38,NA,NA,NA,NA,NA,NA
"Men","1516",1000,"BERLIN.RECYCLING",3,"Kromm Robert",6,18,7,16,14,NA,2,10,1,60,30,26,NA,1,16,62,NA
"Men","1516",1000,"BERLIN.RECYCLING",6,"Fischer Felix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1516",1000,"BERLIN.RECYCLING",7,"Le Goff Nicolas",6,8,5,5,11,2,1,NA,NA,NA,NA,7,1,NA,5,71,2
"Men","1516",1000,"BERLIN.RECYCLING",8,"Baroti Arpad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1516",1000,"BERLIN.RECYCLING",9,"Lotman Paul",6,6,3,1,14,3,NA,24,2,62,17,8,NA,NA,5,62,1
"Men","1516",1000,"BERLIN.RECYCLING",10,"Kühner Sebastian",7,2,1,NA,8,2,NA,NA,NA,NA,NA,1,NA,NA,1,100,1
"Men","1516",1000,"BERLIN.RECYCLING",11,"Zhukouski Tsimafei",6,1,1,-2,5,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1
"Men","1516",1000,"BERLIN.RECYCLING",12,"Carroll Paul",5,9,4,1,10,5,1,NA,NA,NA,NA,22,1,2,8,36,NA
"Men","1516",1000,"BERLIN.RECYCLING",13,"Schott Ruben",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1516",1000,"BERLIN.RECYCLING",14,"Kmet Tomas",5,4,1,1,11,1,NA,NA,NA,NA,NA,5,NA,2,3,60,1
"Men","1516",1000,"BERLIN.RECYCLING",18,"De Marchi Francesco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1516",1001,"United.Volleys.R..1",1,"Ringseis",NA,NA,NA,-5,NA,NA,NA,30,5,57,17,NA,NA,NA,NA,NA,NA
"Men","1516",1001,"United.Volleys.R..1",2,"Fraser ",5,11,6,1,18,1,2,29,3,48,17,22,2,4,9,41,NA
"Men","1516",1001,"United.Volleys.R..1",5,"Bauer ",6,8,3,4,12,3,1,NA,NA,NA,NA,13,1,NA,5,38,2
"Men","1516",1001,"United.Volleys.R..1",7,"Hopt",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1516",1001,"United.Volleys.R..1",8,"Klobucar",NA,3,2,-1,1,NA,NA,10,2,30,20,7,1,1,2,29,1
"Men","1516",1001,"United.Volleys.R..1",9,"Escher ",6,10,3,4,8,4,NA,1,NA,100,0,12,1,1,4,33,6
"Men","1516",1001,"United.Volleys.R..1",10,"Reichert ",5,8,3,NA,16,5,2,21,1,62,19,24,NA,2,6,25,NA
"Men","1516",1001,"United.Volleys.R..1",11,"Krick",NA,2,1,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,100,1
"Men","1516",1001,"United.Volleys.R..1",14,"Wolf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Men","1516",1001,"United.Volleys.R..1",16,"Dünnes ",6,22,6,12,10,3,NA,NA,NA,NA,NA,45,5,2,22,49,NA
"Men","1516",1001,"United.Volleys.R..1",17,"Zimmermann ",5,6,5,1,34,5,5,NA,NA,NA,NA,2,NA,NA,1,50,NA
"Men","1516",1002,"TV.Rottenburg.1",1,"Mehlberg ",6,20,5,10,18,2,1,34,NA,79,59,33,5,3,17,52,2
"Men","1516",1002,"TV.Rottenburg.1",3,"Jankowski ",6,4,2,1,10,2,NA,NA,NA,NA,NA,4,1,NA,2,50,2
