"league_gender","season_id","match_id","team_name","shirt_number","player_name","vote","pt_tot","pt_bp","pt_profloss","serv_tot","serv_err","serv_pt","rec_tot","rec_err","rec_pos","rec_per","att_tot","att_err","att_blo","att_pt","att_per","blo_pt"
"Women","1415",2001,"Köpenicker.SC.B.",3,"Radzuweit",5,7,2,-8,12,1,2,24,8,33,NA,16,4,2,5,31,NA
"Women","1415",2001,"Köpenicker.SC.B.",5,"Carlson",6,19,9,15,10,1,1,NA,NA,NA,NA,31,2,1,16,52,2
"Women","1415",2001,"Köpenicker.SC.B.",6,"Schaus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2001,"Köpenicker.SC.B.",7,"Göpner",NA,NA,NA,-3,NA,NA,NA,16,3,50,19,NA,NA,NA,NA,NA,NA
"Women","1415",2001,"Köpenicker.SC.B.",8,"Knauf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2001,"Köpenicker.SC.B.",9,"Hero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2001,"Köpenicker.SC.B.",10,"Elwassimy",5,3,2,2,13,1,2,NA,NA,NA,NA,1,NA,NA,1,100,NA
"Women","1415",2001,"Köpenicker.SC.B.",11,"Wilson",5,5,3,-1,5,3,NA,NA,NA,NA,NA,7,2,1,4,57,1
"Women","1415",2001,"Köpenicker.SC.B.",12,"Barfield",5,4,1,1,11,2,NA,NA,NA,NA,NA,8,NA,1,3,38,1
"Women","1415",2001,"Köpenicker.SC.B.",14,"Neumannova",NA,NA,NA,-4,NA,NA,NA,8,2,62,25,5,1,1,NA,NA,NA
"Women","1415",2001,"Köpenicker.SC.B.",17,"Riedel",5,8,1,2,13,2,1,16,NA,56,19,22,2,2,7,32,NA
"Women","1415",2002,"Dresdner.SC",1,"Kreklow",6,5,2,4,20,NA,2,NA,NA,NA,NA,5,1,NA,3,60,NA
"Women","1415",2002,"Dresdner.SC",3,"Mikhailenko",6,17,7,12,10,3,1,NA,NA,NA,NA,26,NA,2,12,46,4
"Women","1415",2002,"Dresdner.SC",6,"Pencová",6,4,2,3,9,NA,NA,NA,NA,NA,NA,5,NA,1,2,40,2
"Women","1415",2002,"Dresdner.SC",7,"Dijkema",NA,1,1,1,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"Women","1415",2002,"Dresdner.SC",8,"Lippmann",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,25,NA
"Women","1415",2002,"Dresdner.SC",9,"Schoot",NA,NA,NA,-1,NA,NA,NA,19,1,53,16,NA,NA,NA,NA,NA,NA
"Women","1415",2002,"Dresdner.SC",10,"Jackson",NA,2,2,1,4,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1
"Women","1415",2002,"Dresdner.SC",12,"Langgemach",NA,2,2,1,14,NA,NA,NA,NA,NA,NA,5,1,NA,1,20,1
"Women","1415",2002,"Dresdner.SC",13,"Izquierdo-Mocasqui",NA,1,NA,NA,NA,NA,NA,2,1,50,NA,1,NA,NA,1,100,NA
"Women","1415",2002,"Dresdner.SC",14,"Stock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2002,"Dresdner.SC",15,"Bartsch",5,14,7,12,16,NA,1,26,NA,50,15,34,1,1,13,38,NA
"Women","1415",2002,"Dresdner.SC",16,"Schwabe",5,22,10,15,20,1,4,17,2,35,12,36,2,2,17,47,1
"Women","1415",2002,"Dresdner.SC",17,"Kuhn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2002,"Dresdner.SC",18,"Marcelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2003,"Ladies.in.Black.A..1",1,"Crkonova ",6,7,5,3,9,1,NA,NA,NA,NA,NA,8,2,1,3,38,4
"Women","1415",2003,"Ladies.in.Black.A..1",2,"Burazer ",5,20,9,8,11,2,NA,NA,NA,NA,NA,44,4,6,19,43,1
"Women","1415",2003,"Ladies.in.Black.A..1",5,"Svobodnikova ",6,24,11,20,21,2,3,NA,NA,NA,NA,20,1,1,15,75,6
"Women","1415",2003,"Ladies.in.Black.A..1",8,"Grozer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2003,"Ladies.in.Black.A..1",9,"Stankova",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Women","1415",2003,"Ladies.in.Black.A..1",11,"Košova",NA,7,1,4,11,1,1,NA,NA,NA,NA,11,1,1,5,45,1
"Women","1415",2003,"Ladies.in.Black.A..1",12,"Pucarevic ",6,4,4,3,29,NA,4,1,NA,100,NA,2,1,NA,NA,NA,NA
"Women","1415",2003,"Ladies.in.Black.A..1",13,"Bednarova ",5,8,4,-7,15,NA,NA,45,6,18,11,40,4,5,8,20,NA
