"Datum";"Uhrzeit";"Wochentag";"Gruppen-Ebene";"Spielgruppe";"#";"Spielfeld";"Mannschaft 1";"Mannschaft 2";"Gastgeber";"Austragungsort/Ergebnis";"Austragungsort";"Ergebnis";"Saison";"Spielrunde";"Geschlecht";"Satzpunkte";"Ballpunkte";"Spieldauer";"Zuschauerzahl";"Satzpunkte 1";":";"Satzpunkte 2";"Satz 1 - Ballpunkte 1";":";"Satz 1 - Ballpunkte 2";"Satz 1 - Satzdauer";"Satz 2 - Ballpunkte 1";":";"Satz 2 - Ballpunkte 2";"Satz 2 - Satzdauer";"Satz 3 - Ballpunkte 1";":";"Satz 3 - Ballpunkte 2";"Satz 3 - Satzdauer";"Satz 4 - Ballpunkte 1";":";"Satz 4 - Ballpunkte 2";"Satz 4 - Satzdauer";"Satz 5 - Ballpunkte 1";":";"Satz 5 - Ballpunkte 2";"Satz 5 - Satzdauer";
"25.02.2015";"20:00:00";"Mittwoch";"1";"Pre-Playoff 8-9 (Best of 3) | 25.2.-11.3.2015";"2504";"";"VT Aurubis Hamburg";"Rote Raben Vilsbiburg";"VT Aurubis Hamburg";"0:3 / 60:75";"CU Arena (21147 Hamburg)";"0:3 / 60:75";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"0:3";"60:75";"75";"612";"0";":";"3";"22";":";"25";"25";"20";":";"25";"26";"18";":";"25";"24";
"04.03.2015";"19:30:00";"Mittwoch";"1";"Pre-Playoff 7-10 (Best of 3) | 25.2.-11.3.2015";"2500";"";"USC Münster";"VolleyStars Thüringen";"USC Münster";"3:1 / 97:95";"Sporthalle Berg Fidel (48153 Münster)";"3:1 / 97:95";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:1";"97:95";"111";"829";"3";":";"1";"25";":";"22";"26";"29";":";"27";"31";"18";":";"25";"26";"25";":";"21";"28";
"07.03.2015";"19:00:00";"Samstag";"1";"Pre-Playoff 7-10 (Best of 3) | 25.2.-11.3.2015";"2501";"";"VolleyStars Thüringen";"USC Münster";"VolleyStars Thüringen";"0:3 / 56:75";"Sporthalle Wolfsgrube (98527 Suhl)";"0:3 / 56:75";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"0:3";"56:75";"72";"990";"0";":";"3";"16";":";"25";"21";"20";":";"25";"26";"20";":";"25";"25";
"07.03.2015";"20:00:00";"Samstag";"1";"Pre-Playoff 8-9 (Best of 3) | 25.2.-11.3.2015";"2503";"";"Rote Raben Vilsbiburg";"VT Aurubis Hamburg";"Rote Raben Vilsbiburg";"3:1 / 90:88";"Ballsporthalle Vilsbiburg (84137 Vilsbiburg)";"3:1 / 90:88";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:1";"90:88";"96";"1000";"3";":";"1";"25";":";"23";"23";"25";":";"23";"27";"15";":";"25";"23";"25";":";"17";"23";
"14.03.2015";"17:30:00";"Samstag";"2";"Viertelfinale Playoff 1-8 (Best of 3) | 14.-25.3.2015";"2506";"";"Dresdner SC";"Rote Raben Vilsbiburg";"Dresdner SC";"3:1 / 96:64";"Margon Arena (01277 Dresden)";"3:1 / 96:64";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:1";"96:64";"91";"3000";"3";":";"1";"25";":";"10";"21";"21";":";"25";"24";"25";":";"14";"23";"25";":";"15";"23";
"14.03.2015";"19:00:00";"Samstag";"2";"Viertelfinale Playoff 3-6 (Best of 3) | 14.-25.3.2015";"2512";"";"Schweriner SC";"Ladies in Black Aachen";"Schweriner SC";"3:0 / 78:64";"Palmberg Arena (19059 Schwerin)";"3:0 / 78:64";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"78:64";"84";"1591";"3";":";"0";"25";":";"22";"26";"25";":";"16";"26";"28";":";"26";"32";
"14.03.2015";"19:00:00";"Samstag";"2";"Viertelfinale Playoff 4-5 (Best of 3) | 14.-25.3.2015";"2515";"";"VC Wiesbaden";"SC Potsdam";"VC Wiesbaden";"3:0 / 75:55";"Sporthalle am Platz der Deutschen Einheit (65185 Wiesbaden)";"3:0 / 75:55";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"75:55";"81";"1833";"3";":";"0";"25";":";"21";"28";"25";":";"12";"23";"25";":";"22";"30";
"14.03.2015";"19:30:00";"Samstag";"2";"Viertelfinale Playoff 2-7 (Best of 3) | 14.-25.3.2015";"2509";"";"Allianz MTV Stuttgart";"USC Münster";"Allianz MTV Stuttgart";"3:1 / 93:79";"SCHARRena Stuttgart (70372 Stuttgart)";"3:1 / 93:79";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:1";"93:79";"100";"1920";"3";":";"1";"25";":";"23";"27";"25";":";"14";"22";"18";":";"25";"27";"25";":";"17";"24";
"18.03.2015";"19:00:00";"Mittwoch";"2";"Viertelfinale Playoff 1-8 (Best of 3) | 14.-25.3.2015";"2507";"";"Rote Raben Vilsbiburg";"Dresdner SC";"Rote Raben Vilsbiburg";"2:3 / 102:104";"Ballsporthalle Vilsbiburg (84137 Vilsbiburg)";"2:3 / 102:104";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"2:3";"102:104";"112";"1429";"2";":";"3";"18";":";"25";"22";"25";":";"17";"22";"25";":";"22";"25";"23";":";"25";"28";"11";":";"15";"15";
"18.03.2015";"19:30:00";"Mittwoch";"2";"Viertelfinale Playoff 3-6 (Best of 3) | 14.-25.3.2015";"2513";"";"Ladies in Black Aachen";"Schweriner SC";"Ladies in Black Aachen";"2:3 / 100:104";"Neuköllner Straße (52068 Aachen)";"2:3 / 100:104";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"2:3";"100:104";"115";"925";"2";":";"3";"22";":";"25";"22";"26";":";"24";"32";"25";":";"15";"22";"18";":";"25";"26";"9";":";"15";"13";
"21.03.2015";"18:30:00";"Samstag";"2";"Viertelfinale Playoff 4-5 (Best of 3) | 14.-25.3.2015";"2516";"";"SC Potsdam";"VC Wiesbaden";"SC Potsdam";"3:0 / 75:62";"MBS Arena Potsdam (14471 Potsdam)";"3:0 / 75:62";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"75:62";"81";"1487";"3";":";"0";"25";":";"19";"24";"25";":";"23";"29";"25";":";"20";"28";
"22.03.2015";"14:30:00";"Sonntag";"2";"Viertelfinale Playoff 2-7 (Best of 3) | 14.-25.3.2015";"2510";"";"USC Münster";"Allianz MTV Stuttgart";"USC Münster";"3:1 / 92:90";"Sporthalle Berg Fidel (48153 Münster)";"3:1 / 92:90";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:1";"92:90";"110";"1425";"3";":";"1";"28";":";"26";"33";"14";":";"25";"22";"25";":";"17";"26";"25";":";"22";"29";
"25.03.2015";"19:00:00";"Mittwoch";"2";"Viertelfinale Playoff 2-7 (Best of 3) | 14.-25.3.2015";"2511";"";"Allianz MTV Stuttgart";"USC Münster";"Allianz MTV Stuttgart";"3:0 / 79:67";"SCHARRena Stuttgart (70372 Stuttgart)";"3:0 / 79:67";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"79:67";"81";"1100";"3";":";"0";"29";":";"27";"29";"25";":";"21";"26";"25";":";"19";"26";
"25.03.2015";"19:00:00";"Mittwoch";"2";"Viertelfinale Playoff 4-5 (Best of 3) | 14.-25.3.2015";"2517";"";"VC Wiesbaden";"SC Potsdam";"VC Wiesbaden";"3:1 / 98:81";"Sporthalle am Platz der Deutschen Einheit (65185 Wiesbaden)";"3:1 / 98:81";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:1";"98:81";"103";"1622";"3";":";"1";"25";":";"19";"25";"25";":";"19";"25";"23";":";"25";"27";"25";":";"18";"26";
"01.04.2015";"19:00:00";"Mittwoch";"3";"Halbfinale Playoff 2-3 (Best of 3) | 1.-15.4.2015";"2521";"";"Allianz MTV Stuttgart";"Schweriner SC";"Allianz MTV Stuttgart";"3:2 / 103:99";"SCHARRena Stuttgart (70372 Stuttgart)";"3:2 / 103:99";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:2";"103:99";"114";"2100";"3";":";"2";"13";":";"25";"18";"25";":";"20";"25";"25";":";"27";"30";"25";":";"14";"23";"15";":";"13";"18";
"01.04.2015";"19:30:00";"Mittwoch";"3";"Halbfinale Playoff 1-4 (Best of 3) | 1.-15.4.2015";"2518";"";"Dresdner SC";"VC Wiesbaden";"Dresdner SC";"3:0 / 75:62";"Margon Arena (01277 Dresden)";"3:0 / 75:62";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"75:62";"80";"3000";"3";":";"0";"25";":";"21";"28";"25";":";"20";"26";"25";":";"21";"26";
"04.04.2015";"14:30:00";"Samstag";"3";"Halbfinale Playoff 1-4 (Best of 3) | 1.-15.4.2015";"2519";"";"VC Wiesbaden";"Dresdner SC";"VC Wiesbaden";"3:0 / 75:58";"Sporthalle am Platz der Deutschen Einheit (65185 Wiesbaden)";"3:0 / 75:58";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"75:58";"79";"2100";"3";":";"0";"25";":";"22";"28";"25";":";"22";"29";"25";":";"14";"22";
"04.04.2015";"19:00:00";"Samstag";"3";"Halbfinale Playoff 2-3 (Best of 3) | 1.-15.4.2015";"2522";"";"Schweriner SC";"Allianz MTV Stuttgart";"Schweriner SC";"2:3 / 106:95";"Palmberg Arena (19059 Schwerin)";"2:3 / 106:95";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"2:3";"106:95";"119";"1835";"2";":";"3";"20";":";"25";"24";"25";":";"15";"22";"25";":";"14";"23";"24";":";"26";"31";"12";":";"15";"19";
"12.04.2015";"14:00:00";"Sonntag";"3";"Halbfinale Playoff 1-4 (Best of 3) | 1.-15.4.2015";"2520";"";"Dresdner SC";"VC Wiesbaden";"Dresdner SC";"3:0 / 75:62";"Margon Arena (01277 Dresden)";"3:0 / 75:62";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:0";"75:62";"79";"3000";"3";":";"0";"25";":";"23";"29";"25";":";"22";"26";"25";":";"17";"24";
"19.04.2015";"14:00:00";"Sonntag";"4";"Finale Playoff 1-2 (Best of 5) | 18.4.-6.5.2015";"2524";"";"Dresdner SC";"Allianz MTV Stuttgart";"Dresdner SC";"3:2 / 111:95";"Margon Arena (01277 Dresden)";"3:2 / 111:95";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:2";"111:95";"124";"3000";"3";":";"2";"23";":";"25";"28";"25";":";"16";"27";"23";":";"25";"27";"25";":";"22";"29";"15";":";"7";"13";
"25.04.2015";"19:30:00";"Samstag";"4";"Finale Playoff 1-2 (Best of 5) | 18.4.-6.5.2015";"2525";"";"Allianz MTV Stuttgart";"Dresdner SC";"Allianz MTV Stuttgart";"1:3 / 77:94";"SCHARRena Stuttgart (70372 Stuttgart)";"1:3 / 77:94";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"1:3";"77:94";"105";"2100";"1";":";"3";"13";":";"25";"20";"16";":";"25";"25";"25";":";"19";"31";"23";":";"25";"29";
"29.04.2015";"19:30:00";"Mittwoch";"4";"Finale Playoff 1-2 (Best of 5) | 18.4.-6.5.2015";"2526";"";"Dresdner SC";"Allianz MTV Stuttgart";"Dresdner SC";"3:2 / 110:113";"Margon Arena (01277 Dresden)";"3:2 / 110:113";"2014/15";"1. Bundesliga Frauen Playoff";"weiblich";"3:2";"110:113";"141";"3000";"3";":";"2";"28";":";"26";"32";"17";":";"25";"24";"23";":";"25";"32";"27";":";"25";"34";"15";":";"12";"19";
