league_gender;team_name;team_id
Women;Allianz MTV Stuttgart;2001
Women;Dresdner SC;2002
Women;USC Münster;2008
Women;Rote Raben Vilsbiburg;2005
Women;VC Wiesbaden;2009
Women;VT Aurubis Hamburg;2010
Women;SC Potsdam;2006
Women;Ladies in black AACHEN;2004
Women;Schweriner SC;2007
Women;VolleyStars Thüringen;2011
Women;Köpenicker SC Berlin;2003
Women;Ladies in Black Aachen;2004
Women;VCO Berlin;2012
Women;NawaRo Straubing;2013
Women;Schwarz-Weiß Erfurt;2014
Women;VfB Suhl LOTTO Thüringen;2011
Women;SSC Palmberg Schwerin;2007
Men;BERLIN RECYCLING Volleys;1002
Men;CV Mitteldeutschland;1003
Men;VSG Coburg/Grub;1018
Men;VfB Friedrichshafen;1016
Men;VC Dresden;1014
Men;TV Rottenburg;1012
Men;TV Ingersoll Bühl;1011
Men;Generali Haching;1005
Men;Moerser SC;1007
Men;evivo Düren;1004
Men;SWD powervolleys DÜREN;1004
Men;SVG Lüneburg;1009
Men;VCO Berlin;1015
Men;TSV Herrsching;1010
Men;NETZHOPPERS KW-Bestensee;1008
Men;United Volleys RheinMain;1013
Men;WWK Volleys Herrsching;1010
Men;Netzhoppers SolWo Königspark KW;1008
Men;United Volleys Rhein-Main;1013
Men;Solingen Volleys;1001
Men;Volleyball Bisons Bühl;1011
Men;Bergische Volleys;1001
Men;HYPO TIROL AlpenVolleys Haching;1006
Men;HELIOS GRIZZLYS Giesen;1019
Men;United Volleys Frankfurt;1013
